醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8358141,2237,1358,2020/02/25 15:03:38
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,(083)623995,180,484,2020/02/25 15:03:38
2101010013,松山健康服務中心,台北市松山區八德路４段６９４號１、２樓,(02)27653147,67,726,2020/02/25 15:03:38
2101020019,大安健康服務中心,台北市大安區辛亥路３段１５號,(02)27390997,80,512,2020/02/25 15:03:38
2101090011,大同健康服務中心,台北市大同區昌吉街５２號１至２樓,(02)25948971,0,312,2020/02/25 15:03:38
2101100227,中山健康服務中心,台北市中山區松江路３６７號１樓,(02)25013363,0,447,2020/02/25 15:03:38
2101110027,內湖健康服務中心,台北市內湖區民權東路６段９９號,(02)27908387,23,312,2020/02/25 15:03:38
2101120014,南港健康服務中心,台北市南港區南港路１段３６０號１樓,(02)27868756,1,666,2020/02/25 15:03:38
2101150012,士林健康服務中心,台北市士林區中正路４３９號１樓,(02)28836268,0,575,2020/02/25 15:03:38
2101161033,北投健康服務中心,臺北市北投區石牌路２段１１１號,(02)28261026,0,639,2020/02/25 15:03:38
2101170050,信義健康服務中心,台北市信義區信義路５段１５號,(02)87804152,0,640,2020/02/25 15:03:38
2101180038,中正健康服務中心,台北市中正區牯嶺街２４號,(02)23210168,0,584,2020/02/25 15:03:38
2101191068,萬華健康服務中心,台北市萬華區東園街１５２號,(02)23395384,0,552,2020/02/25 15:03:38
2101200017,政大(文山健康服務中心),臺北市文山區木柵路３段２２０號,(02)22343501,4,648,2020/02/25 15:03:38
2303240013,臺中市中西區衛生所,臺中市西區民權路１０５號,(04)22223811,1186,882,2020/02/25 15:03:38
2311010010,基隆市中正區衛生所,基隆市中正區中正路２３６號２樓,(02)24621632,660,1003,2020/02/25 15:03:38
2311020016,基隆市七堵區衛生所,基隆市七堵區光明路２１－１（１－２樓）,(02)24562008,262,949,2020/02/25 15:03:38
2311030012,基隆市暖暖區衛生所,基隆市暖暖區暖暖街２８１巷９８號,(02)24572630,1082,1130,2020/02/25 15:03:38
2311040018,基隆市仁愛區衛生所,基隆市仁愛區光一路２６號,(02)24311592,266,1062,2020/02/25 15:03:38
2311050014,基隆市中山區衛生所,基隆市中山區中山二路１５號,(02)24229860,1000,1074,2020/02/25 15:03:38
2311060010,基隆市安樂區衛生所,基隆市安樂區安樂路２段１６４號１樓前棟,(02)24318061,28,396,2020/02/25 15:03:38
2311070016,基隆市信義區衛生所,基隆市信義區信一路６９號,(02)24221633,793,1205,2020/02/25 15:03:38
2312010014,新竹市東區衛生所,新竹市東區民族路４０之２號,(03)5236158,180,496,2020/02/25 15:03:38
2312041028,新竹市北區衛生所,新竹市北區國華街六十九號一樓,(03)5353969,0,323,2020/02/25 15:03:38
2312050018,新竹市香山衛生所,新竹市香山區牛埔里育德街１８８號２樓,(03)5388109,44,344,2020/02/25 15:03:38
2317020010,臺中市東區衛生所,臺中市東區信義街１４２號,(04)22834121,314,750,2020/02/25 15:03:38
2317040012,臺中市南區衛生所,台中市南區工學路７２號２樓,(04)22629735,202,620,2020/02/25 15:03:38
2317050018,臺中市北區衛生所,臺中市北區永興街３０１號４樓,(04)22359182,896,944,2020/02/25 15:03:38
2317060014,臺中市西屯區衛生所,臺中市西屯區西安里西屯路二段２９９號,(04)27027068,760,938,2020/02/25 15:03:38
2317070010,臺中市南屯區衛生所,臺中市南屯區向心南路８１１號１樓,(04)23827640,296,634,2020/02/25 15:03:38
2317080016,台中市北屯區軍功衛生所,台中市北屯區軍功路二段１６號,(04)22393932,916,936,2020/02/25 15:03:38
2317081022,台中市北屯區四民衛生所,台中市北屯區后庄路１０６２號,(04)24211945,444,882,2020/02/25 15:03:38
2321010013,臺南市東區衛生所,台南市東區龍山里林森路１段４１８號,(06)2673613,1194,1076,2020/02/25 15:03:38
2321020019,臺南市南區衛生所,臺南市南區南都里南和路６號,(06)2618578,510,894,2020/02/25 15:03:38
2321030015,臺南市中西區衛生所,臺南市中西區安海里環河街９４號,(06)2252403,1597,1103,2020/02/25 15:03:38
2321040011,臺南巿北區衛生所,臺南市北區公園里西華街５０號,(06)2252404,1653,1157,2020/02/25 15:03:38
2321060013,台南市安南區衛生所,台南市安南區仁安路７０號２樓,(06)2567406,608,867,2020/02/25 15:03:38
2321070019,台南市安平區衛生所,台南市安平區平通里育平路３１０號,(06)2996885,782,921,2020/02/25 15:03:38
2322010017,嘉義市東區衛生所,嘉義市東區大雅路二段６２５號,(05)2750423,1581,1092,2020/02/25 15:03:38
2322020013,嘉義市西區衛生所,嘉義市西區福全里德明路１號,(05)2337355,1040,934,2020/02/25 15:03:38
2331070012,新北市樹林區衛生所,新北市樹林區樹新路４０－７號１、２樓,(02)26812134,38,446,2020/02/25 15:03:38
2331080018,新北市鶯歌區衛生所,新北市鶯歌區文化路３８９號,(02)26702304,1,562,2020/02/25 15:03:38
2331090014,新北市三峽區衛生所,新北市三峽區光明路７１號３樓,(02)26711592,258,904,2020/02/25 15:03:38
2331100015,新北市淡水區衛生所,新北市淡水區中山路１５８號,(02)26215620,206,817,2020/02/25 15:03:38
2331120017,新北巿瑞芳區衛生所,新北市瑞芳區明燈路３段１號,(02)24972132,0,684,2020/02/25 15:03:38
2331160011,新北市泰山區衛生所,新北市泰山區全興路２１２號３樓,(02)22962858,106,490,2020/02/25 15:03:38
2331170017,新北市林口區衛生所,新北市林口區忠孝二路５５號,(02)26068760,0,502,2020/02/25 15:03:38
2331180013,新北市深坑區衛生所,新北市深坑區深坑街１６５號１－３樓,(02)26621567,0,898,2020/02/25 15:03:38
2331190019,新北市石碇區衛生所,新北市石碇區潭邊里碇坪路１段８２號,(02)26631325,51,856,2020/02/25 15:03:38
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,(02)26656272,2,276,2020/02/25 15:03:38
2331210016,新北市三芝區衛生所,新北市三芝區中山路１段１２號,(02)26362007,0,435,2020/02/25 15:03:38
2331220012,新北市石門區衛生所,新北市石門區中山路２８－１號,(02)26381007,498,896,2020/02/25 15:03:38
2331230018,新北市八里區衛生所,新北市八里區舊城路１６號,(02)26102137,2,592,2020/02/25 15:03:38
2331240014,新北市平溪區衛生所,新北市平溪區公園街１７號１樓,(02)24951015,308,1288,2020/02/25 15:03:38
2331250010,新北市雙溪區衛生所,新北市雙溪區新基南路１８號,(02)24931211,890,1132,2020/02/25 15:03:38
2331260016,新北市貢寮區衛生所,新北市貢寮區朝陽街７０巷１０號、新北市貢寮區仁愛路１２８號,(02)24901431,42,892,2020/02/25 15:03:38
2331270012,新北市金山區衛生所,新北市金山區民生路５９號,(02)24982778,0,802,2020/02/25 15:03:38
2331280018,新北市萬里區衛生所,新北市萬里區瑪鍊路１５７號１－３樓及地下１樓,(02)24921117,74,881,2020/02/25 15:03:38
2331290014,新北市烏來區衛生所,新北市烏來區新烏路５段１０９號,(02)26617200,22,594,2020/02/25 15:03:38
2332030012,桃園市大溪區衛生所,桃園市大溪區仁愛路１號,(03)3882401,282,688,2020/02/25 15:03:38
2332040018,桃園市楊梅區衛生所,桃園市楊梅區校前路４０９號,(03)4750151,302,692,2020/02/25 15:03:38
2332060010,桃園市大園區衛生所,桃園市大園區田心里中正西路１９號,(03)3862024,414,888,2020/02/25 15:03:38
2332080012,桃園市八德區衛生所,桃園市八德區大華里介壽路二段３６１巷２８號,(03)3662781,64,535,2020/02/25 15:03:38
2332090018,桃園市龍潭區衛生所,桃園市龍潭區中正路２１０號１至２樓,(03)4792033,288,640,2020/02/25 15:03:38
2332100019,桃園市平鎮區衛生所,桃園市平鎮區新富里１鄰振興路１號,(03)4576624,228,564,2020/02/25 15:03:38
2332110015,桃園市新屋區衛生所,桃園市新屋區新屋里中山路２３９號,(03)4772018,42,407,2020/02/25 15:03:38
2332120011,桃園市觀音區衛生所,桃園市觀音區觀新路５８號,(03)4732031,708,990,2020/02/25 15:03:38
2332130017,桃園市復興區衛生所,桃園市復興區澤仁里中正路２５號,(03)3822325,666,592,2020/02/25 15:03:38
2333070010,新竹縣橫山鄉衛生所,新竹縣橫山鄉大肚村３鄰新興街１４１巷１０號,(03)5932004,0,436,2020/02/25 15:03:38
2333100013,新竹縣寶山鄉衛生所,新竹縣寶山鄉雙溪村７鄰雙園路二段２７３號,(03)5292106,0,292,2020/02/25 15:03:38
